ISO3,series,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022
AFG,FP.CPI.TOTL.ZG,12.6862687216715,6.78459655001655,8.68057078513406,26.4186641547444,-6.81116108898996,2.17853752389419,11.8041858089129,6.44121280934117,7.38577178397855,4.67399603536345,-0.661709164713742,4.38389195513915,4.97595150553833,0.626149149168847,2.30237251516834,5.60188791482224,5.13320340824963,13.7121023720065
AFG,NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,46.7098945514103,51.4117163747271,72.8854696086536
AFG,NY.GDP.MKTP.KD.ZG,11.2297148272859,5.35740324748592,13.8263195471281,3.92498381999467,21.3905283926492,14.3624414710737,0.426354776777345,12.7522870926697,5.60074465863221,2.72454336219565,1.45131466066431,2.26031420279821,2.6470032027451,1.18922812944517,3.91160341625552,-2.35110067203466,-20.7388393676343,-6.24017199240269
AFG,NY.GDP.PCAP.CD,254.184249149336,274.218553561575,376.223152003876,381.73323802844,452.053705477043,560.621505463146,606.694676337726,651.417134470046,637.087099117099,625.054941813938,565.569730408751,522.082215583898,525.469770891619,491.337221382603,496.6025042585,510.787063366811,356.496214115892,357.261152798144
AFG,SH.DYN.MORT,109.7,105.1,100.7,96.3,92.2,88.3,84.6,81.2,78.0,75.1,72.4,70.0,67.6,65.4,63.3,61.3,59.3,57.4
AFG,SP.DYN.LE00.IN,58.247,58.553,58.956,59.708,60.248,60.702,61.25,61.735,62.188,62.26,62.27,62.646,62.406,62.443,62.941,61.454,60.417,65.617
AGO,FP.CPI.TOTL.ZG,22.953513851394,13.3052101780032,12.2514974459487,12.4758291326398,13.7302839288408,14.4696564932577,13.4824679218511,10.2779049218839,8.77781429332624,7.28038730361121,9.35597215533784,30.6944150806719,29.8444799015679,19.6289379701521,17.080954143438,22.271539247051,25.7542948841891,21.3552901320822
AGO,NE.TRD.GNFS.ZS,95.3414592884703,84.6246041171541,97.2256306999958,108.680408741993,102.263183257986,90.9940631355109,89.0369443425845,81.9394785486361,77.3498013716078,69.5801424481147,54.9793808779835,47.0155661405313,45.6643423539921,58.916480075976,60.7148243336685,54.3442286847189,61.5262136695806,55.2547732713835
AGO,NY.GDP.MKTP.KD.ZG,14.1547775343954,11.8418178757044,13.0026889457975,10.7866360496581,1.99558909788963,5.29366572819954,3.59386960240222,8.50312283866612,4.88306129688392,4.65572356315585,0.763177710914789,-1.70053036291208,-0.149396225571834,-0.59441122698307,-0.204680245744115,-4.04244724639663,2.10275251923413,4.21600258475137
AGO,NY.GDP.PCAP.CD,2145.88621096327,2930.4442860732,3515.05678986535,4578.15526451517,3645.14846562976,4101.63715566712,5184.15269149912,5702.45306277434,5688.57916215215,5649.68762469139,3641.72893919944,2051.81462126253,2790.71886869768,2860.0936483682,2493.67884440177,1759.35619918264,2303.90812662776,3682.1131513698
AGO,SH.DYN.MORT,165.0,155.5,146.0,137.0,128.2,119.8,112.1,104.8,98.3,92.8,88.2,84.1,80.5,77.3,74.4,71.6,69.0,66.4
AGO,SP.DYN.LE00.IN,52.13,52.965,54.2,55.281,56.225,57.242,58.093,58.916,59.705,60.396,61.042,61.619,62.122,62.622,63.051,63.116,62.958,64.246
ALB,FP.CPI.TOTL.ZG,2.36658195679795,2.37072831904282,2.93268248162323,3.32087090389265,2.26692209450831,3.6271009151748,3.42807130141503,2.03159268395296,1.93762080205223,1.62586504402604,1.89617402592366,1.27543168367423,1.98666133171194,2.02805963071135,1.41109078954251,1.62088661717004,2.04147163139545,6.7252027153006
ALB,NE.TRD.GNFS.ZS,69.1162926602322,72.2019089483674,79.9119008919954,75.2485472798728,73.3213575646169,75.5325329687378,80.6989985298954,76.9683583166821,75.7506185619748,75.0212023084129,71.2794476606014,74.0144504546815,76.7873817898989,75.6940783717425,75.382128932689,59.5206994391875,75.5904040905009,84.6980435944865
ALB,NY.GDP.MKTP.KD.ZG,5.13082193056189,6.0189812403864,6.50009261158209,6.90706230713707,2.69075152362146,2.97315442681247,2.46351683915714,0.984129880204108,1.7072283175406,2.24022695382642,2.2277040745779,3.90893551362245,3.28317593330073,3.67141928098908,2.06257790176122,-3.31375636888916,8.96957619074095,4.8268006234359
ALB,NY.GDP.PCAP.CD,2741.72136549578,3057.77257038113,3743.05529896187,4498.50486763601,4213.65007574693,4149.14469936847,4465.70914328865,4280.93316338873,4542.92903556739,4793.59751131525,4199.53912925398,4457.63412207495,5006.36012951959,5897.65452588774,6069.43903131027,6027.91350716348,7242.45513146613,7756.96188744253
ALB,SH.DYN.MORT,20.0,18.5,17.1,15.8,14.5,13.3,12.2,11.2,10.5,9.9,9.6,9.4,9.3,9.3,9.4,9.4,9.5,9.4
ALB,SP.DYN.LE00.IN,76.427,76.994,77.691,78.248,78.509,78.414,78.303,78.084,77.995,78.029,78.358,78.643,78.9,79.238,79.467,77.824,76.844,78.769
ARG,FP.CPI.TOTL.ZG,,,,,,,,,,,,,,34.2772237131003,53.5483043492339,42.0150947376509,48.4093786255199,72.430757531824
ARG,NE.TRD.GNFS.ZS,40.5512709706238,40.4334798719151,40.945170618571,40.4026733790382,34.0571269054879,34.9710132635696,35.2061549999644,30.5265423717108,29.3339290021037,28.4067936452275,22.4862260889792,26.0938878488799,25.2896011376779,30.7625359549926,32.6306150458499,30.203698807416,33.078689567466,31.5801792606256
ARG,NY.GDP.MKTP.KD.ZG,8.85165992013437,8.04715150043027,9.00765087504757,4.05723310346406,-5.91852507634947,10.1253981561002,6.00395169280579,-1.0264204544321,2.40532378079436,-2.51261532081394,2.73115982828944,-2.08032784377811,2.81850297775918,-2.61739646282038,-2.00086100285785,-9.9004848136464,10.4418119882506,6.02074537534855
ARG,NY.GDP.PCAP.CD,5067.65342293276,5869.38028970204,7185.25155147027,8944.1102657357,8150.23527028221,10260.1313108254,12704.2831819684,12949.717486654,12963.675773326,12233.1444119186,13679.6264980954,12699.9623137756,14532.5009308511,11752.7998922979,9955.97478680428,8535.59938004389,10738.0179223384,13962.1894087223
ARG,SH.DYN.MORT,16.7,16.2,15.8,15.4,14.9,14.4,13.9,13.3,12.7,12.2,11.7,11.4,11.0,10.7,10.5,10.3,10.0,9.8
ARG,SP.DYN.LE00.IN,75.231,75.279,74.783,75.428,75.577,75.68,76.1,75.802,75.829,76.268,76.6,76.105,76.543,76.77,76.847,75.878,73.948,75.806
ARM,FP.CPI.TOTL.ZG,0.638928002410097,2.89235662459004,4.40736089644516,8.94995335353387,3.40676682683801,8.17636138473952,7.65000807859294,2.55802007757907,5.78966778544651,2.98130868933672,3.73169119261693,-1.403607559009,0.969553268816138,2.52023382001638,1.44344660770698,1.21143577838465,7.18483629443371,8.64091108973855
ARM,NE.TRD.GNFS.ZS,70.1397385835334,61.0301379818566,56.9750470853147,54.5423279613666,57.2742357441995,64.642975973633,69.4355736620453,75.9616759606704,77.5550481598824,75.778866962639,71.6820743427575,76.0779674593548,87.202376539837,92.473107021212,97.847004865327,70.1213571368789,79.2489057647112,103.878629213508
ARM,NY.GDP.MKTP.KD.ZG,13.8999999991133,13.1999999994661,13.7000000015467,6.90000000042959,-14.1000000006998,2.2000000002151,4.69999999867412,7.20000000096486,3.3,3.60000000058993,3.19999999896625,0.199999999825991,7.50000000164144,5.19999999965324,7.59999999853918,-7.19999999920631,5.80000000065645,12.5999999997766
ARM,NY.GDP.PCAP.CD,1557.48458908655,2041.65267068997,2962.70234594569,3777.66859313767,2820.5926553347,3041.34450723339,3349.55309771906,3511.56399687426,3680.16692158886,3852.11800610384,3512.39350276709,3524.42476874707,3869.05373867752,4196.00562301769,4597.22887399548,4268.68093304583,4685.17997128509,6571.97445545099
ARM,SH.DYN.MORT,24.0,22.8,21.7,20.6,19.7,18.7,17.8,17.0,16.2,15.4,14.6,14.0,13.3,12.7,12.1,11.6,11.0,10.5
ARM,SP.DYN.LE00.IN,73.0756097560976,72.8243902439025,72.8731707317073,73.0731707317073,73.0731707317073,73.1731707317073,73.8170731707317,74.119512195122,74.6219512195122,74.8731707317073,74.8707317073171,74.8682926829268,75.2170731707317,75.619512195122,76.2219512195122,73.3756097560976,72.2780487804878,74.7658536585366
AUS,FP.CPI.TOTL.ZG,2.69183168316832,3.55528773727026,2.32761128891476,4.35029854990048,1.77111716621254,2.91834002677376,3.3038501560874,1.76278015613196,2.4498886414254,2.48792270531404,1.50836672165921,1.27699094497324,1.94864740944527,1.91140094445691,1.61076787290379,0.846905537459305,2.86391042204994,6.59409671341846
AUS,NE.TRD.GNFS.ZS,39.0978822564811,41.4878923489153,41.9297451276561,42.7522207880308,45.5936120867789,40.3905070860606,41.7219860149689,43.0198495527558,41.100511881056,42.2993095385282,41.4947506939901,40.813402217321,42.0354135251854,43.5732253645218,46.0016827052171,44.499564103879,40.2022359390595,45.6946418805752
AUS,NY.GDP.MKTP.KD.ZG,3.15548121323168,2.7709261737475,3.78947119882653,3.62398503565633,1.95484826298522,2.21004795300735,2.39473494330615,3.95247138119184,2.65445302592404,2.60118978187332,2.16434780647852,2.75564065529868,2.29331030192918,2.87417039499501,2.19401703622717,-0.133531904304775,2.00694844335034,4.25304559238732
AUS,NY.GDP.PCAP.CD,34535.20727091,36658.8243476122,41128.2476618402,49811.2067218988,42954.8494884573,52313.8939041213,62799.3895017032,68301.4402512587,68476.6788496118,62817.2061751737,56970.3613028094,50084.4440606385,54117.547718609,57410.1737346009,55194.7585097428,51983.4523666382,60758.9044397144,65169.5191118657
AUS,SH.DYN.MORT,5.7,5.6,5.4,5.2,5.0,4.8,4.5,4.3,4.1,4.0,3.9,3.8,3.8,3.8,3.8,3.8,3.7,3.7
AUS,SP.DYN.LE00.IN,80.8414634146341,81.0414634146342,81.2926829268293,81.3951219512195,81.5439024390244,81.6951219512195,81.8951219512195,82.0463414634146,82.1487804878049,82.3,82.4,82.4487804878049,82.5,82.7487804878049,82.9,83.2,83.3,83.2
