ISO3,series,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022
ALB,RL.EST,-0.763833165168762,-0.703135848045349,-0.661545991897583,-0.600079298019409,-0.49437016248703,-0.385760486125946,-0.442926466464996,-0.519839763641357,-0.518828868865967,-0.311199098825455,-0.31968680024147,-0.322631984949112,-0.414191573858261,-0.414752036333084,-0.426317363977432,-0.378028213977814,-0.280716270208359,-0.165585100650787
ALB,RQ.EST,-0.400731235742569,-0.14859938621521,0.0345503017306328,0.137666508555412,0.241446003317833,0.233281955122948,0.283972561359406,0.240491986274719,0.25416025519371,0.279037684202194,0.174237310886383,0.186607629060745,0.220610320568085,0.256079822778702,0.272065460681915,0.221967235207558,0.175859391689301,0.159353822469711
ALB,VA.EST,0.0036717876791954,0.0758899599313736,0.113008469343185,0.174939081072807,0.141477331519127,0.123838223516941,0.0623337626457214,0.0220640376210213,0.0488644428551197,0.143689781427383,0.157135263085365,0.171097502112389,0.203885167837143,0.188786596059799,0.141965284943581,0.0863254442811012,0.0855889618396759,0.141740188002586
ARG,CC.EST,-0.377738356590271,-0.33123853802681,-0.372122079133987,-0.434875011444092,-0.445475101470947,-0.355230033397675,-0.364098519086838,-0.445909202098846,-0.434306710958481,-0.549791395664215,-0.581265270709991,-0.299235552549362,-0.309002459049225,-0.0992739275097847,-0.107116244733334,-0.163570061326027,-0.422596842050552,-0.447221606969833
ARG,GE.EST,-0.0979790613055229,-0.0339163094758987,-0.0125325033441186,-0.123509347438812,-0.294032037258148,-0.1117919459939,-0.0723610669374466,-0.206967011094093,-0.254236966371536,-0.111114293336868,-0.0494756102561951,0.218796372413635,0.135085612535477,0.0280606187880039,-0.120795331895351,-0.254261821508408,-0.390557259321213,-0.28348970413208
ARG,PV.EST,-0.0417749434709549,0.00196776282973588,0.0977966338396072,-0.0877556875348091,-0.234854578971863,-0.0847978666424751,0.158993661403656,0.103040546178818,0.0653142631053925,-0.00512187136337161,0.00876413471996784,0.197749897837639,0.162542164325714,0.00690981233492494,-0.0978230908513069,-0.0719974040985107,0.000530058634467423,-0.0985943302512169
ARG,RL.EST,-0.557991087436676,-0.57701563835144,-0.60147225856781,-0.699731647968292,-0.694468080997467,-0.59809422492981,-0.563123285770416,-0.623034238815308,-0.656328618526459,-0.866627335548401,-0.74863588809967,-0.320159524679184,-0.237312033772469,-0.219330430030823,-0.427360445261002,-0.486265957355499,-0.477947890758514,-0.482351809740067
ARG,RQ.EST,-0.525074362754822,-0.61456698179245,-0.635693550109863,-0.702629446983337,-0.830836772918701,-0.742940902709961,-0.701964378356934,-0.897686779499054,-0.928134799003601,-1.0661495923996,-0.898022353649139,-0.347571164369583,-0.196430206298828,-0.195977628231049,-0.453079700469971,-0.498344272375107,-0.631172716617584,-0.697565734386444
ARG,VA.EST,0.269231617450714,0.403436541557312,0.448621332645416,0.358895927667618,0.280091494321823,0.361670136451721,0.344941824674606,0.295209914445877,0.276933550834656,0.34527176618576,0.411758154630661,0.49326366186142,0.528708100318909,0.539252579212189,0.570874631404877,0.584501206874847,0.610777020454407,0.546316981315613
ARM,CC.EST,-0.683349847793579,-0.669232606887817,-0.745891690254211,-0.712412357330322,-0.621459662914276,-0.695039570331573,-0.664559423923492,-0.588001489639282,-0.53053343296051,-0.565446794033051,-0.609746634960175,-0.659795224666595,-0.637015163898468,-0.409369438886642,-0.227039858698845,-0.003474973840639,0.0486846454441547,0.0279071740806103
ARM,GE.EST,-0.142497807741165,-0.261502921581268,-0.381906569004059,-0.177952587604523,-0.0268956422805786,-0.171523153781891,-0.11502830684185,-0.0323866233229637,0.0783172845840454,-0.257329761981964,-0.331789612770081,-0.31255441904068,-0.251550018787384,-0.170582666993141,-0.226045966148376,-0.304547429084778,-0.282197445631027,-0.314792364835739
ARM,PV.EST,-0.0663353949785233,-0.261023759841919,0.150905832648277,-0.00685302773490548,0.227863356471062,0.071855328977108,-0.06386898458004,0.154794976115227,0.11038514226675,-0.297135800123215,-0.256798654794693,-0.667951107025146,-0.626211166381836,-0.451066911220551,-0.420024991035461,-0.77164489030838,-0.804041028022766,-0.740756273269653
ARM,RL.EST,-0.388776749372482,-0.544567346572876,-0.496518045663834,-0.337751358747482,-0.468710690736771,-0.48135831952095,-0.437706410884857,-0.418281972408295,-0.340888947248459,-0.417726755142212,-0.462551325559616,-0.160894498229027,-0.209393918514252,-0.197214365005493,-0.177464514970779,-0.125831425189972,-0.119838461279869,-0.169515803456306
ARM,RQ.EST,0.0890626683831215,0.292330682277679,0.265207171440125,0.300939857959747,0.273454070091248,0.268946558237076,0.246940597891808,0.334273397922516,0.23518268764019,0.15851990878582,0.189176842570305,0.20515838265419,0.228397324681282,0.350590288639069,0.242604270577431,0.238748028874397,0.131828442215919,-0.0190788023173809
ARM,VA.EST,-0.591363310813904,-0.742222785949707,-0.759377896785736,-0.857629656791687,-0.876420259475708,-0.847521543502808,-0.690779805183411,-0.570491433143616,-0.588099241256714,-0.562132000923157,-0.536273837089539,-0.579092621803284,-0.560670435428619,-0.130965158343315,0.0547882094979286,0.0473478920757771,0.0541607961058617,0.0903258174657822
AUS,CC.EST,1.94266772270203,1.95081317424774,2.00087285041809,2.0273425579071,2.04176306724548,2.02361083030701,2.03790903091431,1.97750723361969,1.77783310413361,1.84927213191986,1.84130811691284,1.77225196361542,1.75297474861145,1.7674548625946,1.78807365894318,1.63298058509827,1.70738875865936,1.76436710357666
AUS,GE.EST,1.74618124961853,1.70789933204651,1.81895518302917,1.78476786613464,1.70196378231049,1.76339137554169,1.69013810157776,1.61314845085144,1.632453083992,1.60089492797852,1.53325247764587,1.53218841552734,1.49838602542877,1.55598998069763,1.53869080543518,1.57335329055786,1.47172200679779,1.52843272686005
AUS,PV.EST,0.8917076587677,0.934466600418091,0.928874909877777,0.954700112342834,0.855120599269867,0.888859868049622,0.935710072517395,0.997997224330902,1.03107297420502,1.03219199180603,0.873180687427521,1.0334244966507,0.87606406211853,0.971185445785522,0.917978942394257,0.862161874771118,0.83507913351059,0.983715951442719
AUS,RL.EST,1.71280241012573,1.75673854351044,1.74388742446899,1.75908350944519,1.73300874233246,1.75771832466125,1.73315370082855,1.75977957248688,1.77010083198547,1.91863083839417,1.79032063484192,1.7166656255722,1.64595770835876,1.67466557025909,1.69461703300476,1.61500358581543,1.63855969905853,1.5088187456131
AUS,RQ.EST,1.59951293468475,1.62376224994659,1.68421590328217,1.76601755619049,1.81692755222321,1.69597673416138,1.85212278366089,1.77889716625214,1.79121994972229,1.85737347602844,1.77741026878357,1.88573145866394,1.92300236225128,1.89657723903656,1.86464607715607,1.81394696235657,1.83118271827698,1.89489328861237
AUS,VA.EST,1.50705575942993,1.38279473781586,1.3691999912262,1.36807608604431,1.38379085063934,1.41976547241211,1.45372104644775,1.49919033050537,1.43636846542358,1.36167418956757,1.35573124885559,1.35410094261169,1.37863683700562,1.39378583431244,1.27036511898041,1.29898488521576,1.35812592506409,1.32390677928925
AUT,CC.EST,1.91242349147797,1.90487694740295,2.00334525108337,1.8287581205368,1.69403409957886,1.59612202644348,1.47028934955597,1.42725443840027,1.53727698326111,1.46650183200836,1.47204375267029,1.49688053131104,1.50082015991211,1.56858718395233,1.52132439613342,1.47770941257477,1.24272727966309,1.25858676433563
AUT,GE.EST,1.67952907085419,1.82738518714905,1.86356592178345,1.77165818214417,1.66273927688599,1.81252110004425,1.60288524627686,1.56018972396851,1.57137954235077,1.5529956817627,1.4509791135788,1.47481060028076,1.46775150299072,1.45611667633057,1.49212622642517,1.60586321353912,1.52829468250275,1.46492278575897
AUT,PV.EST,1.10395002365112,1.07445085048676,1.284419298172,1.33927059173584,1.19087398052216,1.15264821052551,1.19352161884308,1.34056687355042,1.36410057544708,1.27070045471191,1.12933051586151,0.8921759724617,1.02962481975555,0.884860396385193,0.892189025878906,0.887600898742676,0.899554431438446,0.648710012435913
AUT,RL.EST,1.84724950790405,1.8997688293457,1.94182562828064,1.91069889068604,1.77744269371033,1.80120265483856,1.79896306991577,1.85712373256683,1.83409059047699,1.93843615055084,1.81477534770966,1.76146185398102,1.8003545999527,1.85348308086395,1.86229813098907,1.77060890197754,1.75175452232361,1.70427322387695
AUT,RQ.EST,1.60495746135712,1.64441108703613,1.69116389751434,1.60645174980164,1.4500185251236,1.4505158662796,1.37697684764862,1.51716470718384,1.48221373558044,1.48217010498047,1.3904470205307,1.42889010906219,1.42786145210266,1.5240364074707,1.44640731811523,1.39522731304169,1.34041571617126,1.28319978713989
AUT,VA.EST,1.37865650653839,1.37268495559692,1.36926245689392,1.35846436023712,1.39284467697144,1.43029069900513,1.40244364738464,1.44877302646637,1.45652639865875,1.39129602909088,1.38369190692902,1.33784782886505,1.38622164726257,1.39954924583435,1.33715832233429,1.39462888240814,1.38638341426849,1.41365766525269
AZE,CC.EST,-1.05252146720886,-1.09591245651245,-1.12907373905182,-1.15665423870087,-1.19408190250397,-1.24537324905396,-1.1953147649765,-1.14269411563873,-0.970754623413086,-1.02282762527466,-0.952573180198669,-0.852637350559235,-0.906532645225525,-0.853233695030212,-0.849681973457336,-1.07807588577271,-0.847890377044678,-1.04090738296509
AZE,GE.EST,-0.741808712482452,-0.671189248561859,-0.802225649356842,-0.785877287387848,-0.66451507806778,-0.813017129898071,-0.772403717041016,-0.790763437747955,-0.452178388834,-0.313590198755264,-0.258792459964752,-0.159376382827759,-0.171380609273911,-0.145130529999733,-0.128162756562233,-0.15526370704174,0.213475212454796,-0.0412070974707603
AZE,PV.EST,-1.12481939792633,-1.09268236160278,-0.62599641084671,-0.330349981784821,-0.277853518724442,-0.238546922802925,-0.532135963439941,-0.715751826763153,-0.412859916687012,-0.559909522533417,-0.733916640281677,-0.808908820152283,-0.751901030540466,-0.711399376392365,-0.693411469459534,-0.852253794670105,-0.837823569774628,-0.922807276248932
