age,gender,A_total,O_total,C_total,E_total,N_total
14,2,36,29,33,30,38
19,2,29,36,33,26,31
13,3,28,26,31,26,35
20,2,31,34,35,25,42
18,2,34,32,30,32,26
63,2,33,38,33,30,20
45,1,28,38,30,31,20
14,1,32,37,36,26,37
27,2,32,38,38,29,26
36,1,31,34,26,29,36
21,1,28,34,36,30,25
16,1,32,31,27,31,24
52,2,34,35,34,28,33
16,1,33,36,38,35,27
40,2,29,35,36,31,38
39,1,30,32,33,29,29
24,1,35,35,39,26,40
17,1,34,37,38,30,32
34,1,29,34,29,26,29
29,1,29,35,30,28,28
42,1,27,29,32,34,26
16,1,31,34,33,28,36
30,1,35,34,35,26,23
19,3,27,39,39,27,27
21,2,33,30,34,25,30
23,2,37,29,32,27,36
20,1,26,27,36,31,28
19,1,26,35,31,27,37
46,2,37,34,32,34,35
18,1,30,36,30,35,34
21,2,29,29,33,33,34
37,1,39,36,38,32,25
14,2,32,29,29,31,29
46,1,29,30,28,32,19
28,1,31,35,33,31,35
18,2,38,27,33,35,31
16,1,37,27,38,37,29
29,2,28,32,32,30,27
30,2,35,34,34,30,38
32,2,30,32,29,29,24
20,1,28,27,32,30,41
18,1,32,32,31,34,18
15,2,34,31,30,32,37
25,1,30,37,31,26,32
26,1,34,35,31,36,40
23,1,32,29,37,31,31
31,1,31,29,31,29,31
21,2,33,30,33,34,31
16,2,31,31,25,26,30
23,2,31,33,30,31,25
32,1,35,32,28,28,26
20,2,32,34,36,31,30
23,2,32,26,29,30,32
42,2,33,40,32,37,29
24,2,30,35,34,30,36
31,1,32,32,29,30,29
22,1,32,36,33,28,33
28,2,30,29,31,33,27
26,2,34,38,31,33,42
18,1,25,32,26,30,23
46,1,27,31,29,30,25
41,2,33,28,31,27,22
51,1,31,36,26,32,20
18,2,33,28,33,32,31
23,1,36,30,27,36,20
44,2,33,35,36,29,34
27,2,32,31,31,32,37
55,2,30,33,30,31,27
19,1,35,34,31,32,20
16,2,26,33,34,30,38
53,2,31,33,36,31,38
23,1,27,37,29,29,20
22,2,35,37,29,34,41
21,1,33,31,29,32,32
40,2,31,34,34,28,21
26,1,30,35,36,29,24
21,2,33,28,32,29,32
45,2,32,34,32,30,28
14,2,34,30,29,29,20
17,2,37,36,25,32,40
25,1,28,35,34,32,35
19,2,31,30,25,29,28
15,1,28,33,28,31,20
49,1,29,36,28,35,28
25,2,30,32,26,33,24
19,2,35,29,29,29,29
22,2,33,30,32,28,21
60,2,31,27,28,29,39
15,1,31,37,33,33,32
24,1,37,35,33,35,32
23,1,28,36,27,33,25
28,1,26,37,31,28,19
23,1,29,30,29,32,22
31,1,28,36,32,34,20
52,2,29,33,31,30,28
20,1,30,36,36,31,28
18,1,31,39,27,27,32
15,2,27,24,32,32,40
16,2,29,28,25,29,22
15,2,23,29,29,27,40
66,2,36,36,30,32,28
43,2,32,40,31,28,24
42,2,32,33,31,27,33
15,1,35,40,33,35,31
30,1,26,36,34,23,25
43,1,27,32,28,28,29
15,1,30,34,34,24,26
15,2,31,35,38,33,32
21,1,32,32,35,30,32
15,2,23,26,31,29,39
38,2,33,39,26,29,25
25,1,29,35,35,33,42
26,2,35,36,35,34,25
29,1,32,31,27,35,33
19,2,29,33,32,30,31
40,2,31,30,27,26,32
40,1,33,37,34,25,39
40,2,27,39,36,35,21
14,2,35,35,39,34,39
22,2,32,32,31,31,31
28,1,29,30,37,31,28
20,1,28,31,34,25,27
25,1,31,30,28,28,31
49,2,37,36,33,30,21
52,2,31,27,33,27,27
18,2,30,36,34,29,25
19,2,35,35,30,30,28
45,2,32,37,34,29,29
25,2,32,29,32,34,30
66,2,34,38,36,32,17
34,2,35,31,32,34,24
23,2,34,31,30,32,25
25,1,31,33,29,32,40
28,1,36,37,34,32,42
31,2,32,32,28,29,31
26,2,33,35,35,31,35
23,2,35,38,33,31,23
42,1,34,31,29,29,27
52,2,27,33,23,35,25
15,2,30,34,30,29,26
27,1,33,29,29,32,28
20,2,33,33,35,32,28
35,2,28,29,32,26,36
42,1,30,34,32,30,30
16,1,24,35,35,30,27
27,2,28,29,34,31,24
23,2,34,27,35,33,41
16,2,31,32,33,26,34
17,1,31,31,28,29,22
17,2,28,29,23,31,33
22,1,34,35,31,33,26
17,2,30,36,31,29,21
21,2,34,30,25,29,27
21,2,36,35,33,34,36
50,2,34,38,25,29,31
29,2,37,38,26,30,23
36,2,32,35,32,31,27
21,2,34,35,32,34,33
23,2,32,35,31,29,39
19,1,32,33,32,29,25
47,1,23,31,33,30,24
34,2,34,33,33,28,42
15,1,32,34,34,31,36
23,2,29,36,32,30,35
55,2,28,35,29,31,25
14,1,31,33,27,37,34
44,1,32,29,28,33,24
32,2,34,35,33,29,35
24,1,24,34,22,22,28
20,1,27,35,29,34,28
57,2,33,28,27,31,19
21,1,31,34,31,31,32
19,2,33,35,31,33,22
17,2,33,26,26,30,28
16,1,30,37,32,33,25
18,2,33,30,31,30,35
16,2,33,33,28,29,39
19,2,30,36,30,30,24
19,2,32,32,35,32,37
18,2,28,35,27,31,23
19,2,32,35,35,31,28
17,2,33,33,30,33,23
20,1,34,38,30,32,19
20,2,30,28,32,33,41
20,2,35,36,36,33,37
25,2,29,37,33,30,36
18,1,35,34,36,34,28
41,2,33,39,34,36,38
20,2,35,34,34,32,29
17,1,34,35,28,34,35
17,2,31,34,26,35,19
58,2,35,28,31,27,30
52,2,31,40,32,30,37
49,1,26,27,24,27,23
25,2,33,38,34,32,27
27,2,29,31,32,25,28
21,2,33,37,29,27,30
18,2,33,37,31,32,31
26,1,37,33,30,33,30
27,1,35,37,37,30,37
30,2,30,35,24,29,25
14,2,38,33,36,35,22
41,2,33,34,36,32,24
35,2,36,36,36,34,27
19,2,32,27,33,28,31
20,2,35,32,31,33,30
15,2,30,36,32,27,33
18,2,26,28,37,33,34
16,2,28,32,34,27,35
41,1,27,34,32,32,19
25,1,27,37,31,32,21
23,2,30,26,29,28,29
24,2,29,35,30,30,29
20,2,32,26,32,33,39
26,1,33,34,32,33,35
21,1,36,38,37,28,36
24,2,30,35,29,30,24
14,2,32,26,27,32,38
24,1,37,30,26,26,34
19,2,33,28,30,37,35
47,2,32,36,38,29,32
40,1,32,31,32,31,27
31,1,32,35,33,30,24
18,2,28,38,29,28,33
17,1,30,34,33,30,38
39,1,33,36,26,31,23
27,1,28,28,28,38,21
22,2,33,34,33,28,23
17,2,30,27,32,33,42
21,2,37,36,30,37,27
21,1,32,31,30,32,36
19,1,33,35,26,29,25
26,1,36,33,38,37,32
39,2,32,36,34,27,30
17,2,32,33,33,29,29
16,2,29,30,31,29,33
17,2,33,34,28,36,23
19,2,32,33,26,27,27
18,2,30,31,34,26,28
28,2,33,32,33,32,30
30,1,32,36,30,34,40
25,1,36,34,30,36,28
25,2,35,27,32,32,39
26,2,32,37,28,29,30
32,1,28,25,27,34,25
22,2,30,32,32,30,30
21,1,31,34,30,32,35
20,1,37,33,35,28,40
65,2,25,32,33,35,21
26,2,35,37,35,25,41
36,2,32,40,23,32,39
37,2,30,35,35,29,29
33,1,31,38,28,33,37
25,2,35,33,30,34,30
20,2,34,35,32,30,31
24,1,30,35,29,32,19
37,1,33,38,36,36,29
38,1,32,35,35,30,43
50,2,34,28,24,32,32
17,3,30,38,32,27,36
14,2,29,33,31,29,36
21,2,35,32,32,29,27
29,2,37,35,32,31,36
27,1,30,38,36,25,23
22,1,29,28,28,34,32
24,2,32,30,30,29,34
34,2,30,37,29,35,31
14,1,28,25,29,32,31
30,1,32,32,31,32,35
19,2,33,33,30,31,31
1992,2,34,38,26,34,42
17,2,35,28,28,30,33
29,1,32,30,27,36,27
38,2,31,35,36,30,37
20,2,31,32,29,34,28
23,2,37,32,32,30,32
23,3,30,33,29,27,36
21,1,31,29,28,29,21
22,2,33,30,33,29,33
22,2,33,33,28,28,29
20,2,39,31,36,38,36
20,2,30,29,30,29,26
20,1,33,34,37,27,36
20,1,29,36,27,31,34
64,2,28,35,31,31,30
34,2,29,30,29,34,28
24,2,35,27,35,35,27
25,2,31,34,35,31,35
25,1,29,31,30,31,26
22,2,37,37,30,26,36
24,2,39,28,32,27,22
19,1,37,33,36,32,39
26,1,29,36,32,26,39
36,1,28,32,26,28,27
61,2,35,33,33,31,30
18,2,32,32,31,30,40
25,2,33,39,30,32,26
30,2,27,37,31,25,41
25,2,29,32,26,31,30
52,2,30,30,30,31,27
30,2,34,36,29,32,25
57,2,38,34,30,38,30
26,2,31,28,33,30,28
27,1,31,32,24,30,37
21,2,31,31,34,30,35
27,1,29,32,26,23,31
25,1,32,30,29,33,23
35,1,30,37,32,32,21
39,1,27,35,33,32,28
27,2,28,28,29,32,27
20,1,27,37,28,33,39
60,2,35,38,25,34,17
50,2,36,28,30,30,29
22,2,34,34,32,28,38
37,1,27,38,32,23,26
18,2,33,30,33,34,27
16,2,30,27,32,32,33
22,2,37,33,32,30,42
17,2,32,32,31,31,37
22,1,33,31,32,36,29
20,1,31,31,33,34,25
15,1,30,33,34,26,30
25,2,27,33,34,28,27
22,2,30,34,29,34,30
16,1,35,33,28,35,36
27,2,33,27,25,28,34
41,2,29,34,28,28,33
23,2,34,37,32,36,31
33,2,34,32,38,23,41
51,1,28,35,27,29,24
24,2,33,35,29,33,25
24,2,34,33,35,38,27
24,1,39,34,32,28,32
20,1,35,32,29,33,18
19,2,31,37,33,31,26
30,1,34,38,32,27,31
34,1,34,37,27,24,26
20,1,31,35,36,31,27
16,2,33,40,38,27,33
22,1,33,35,36,35,33
27,1,34,33,29,33,31
51,2,37,33,32,31,18
18,1,32,34,32,35,31
19,1,32,29,24,23,34
14,1,32,29,30,34,23
43,2,24,36,38,29,43
18,2,31,34,30,30,33
31,1,32,36,27,35,41
27,2,34,28,29,32,25
20,2,33,29,29,30,33
40,2,37,35,29,32,26
20,2,33,33,25,29,39
16,1,31,32,28,28,29
24,1,32,33,30,33,33
44,1,38,38,33,33,21
23,2,31,36,30,27,30
40,1,34,29,30,31,29
32,1,38,40,36,32,31
40,2,36,35,32,34,23
58,2,27,31,36,29,40
24,2,31,31,33,36,32
21,2,31,33,33,31,28
18,1,31,39,35,25,25
35,2,29,33,33,29,24
18,2,29,32,30,30,32
26,1,34,35,35,32,36
27,1,35,29,30,32,26
30,2,33,34,30,27,28
20,2,32,31,30,31,32
21,2,34,38,33,28,23
20,2,34,40,34,28,29
37,1,30,33,30,30,32
56,2,32,33,31,27,23
22,2,33,29,33,34,30
20,1,26,37,28,34,28
43,2,33,34,30,27,28
31,1,30,31,28,25,23
43,1,39,30,31,30,40
31,2,35,36,31,33,31
39,1,32,31,34,27,37
24,1,34,32,29,35,24
18,1,33,38,26,34,34
45,2,33,37,30,28,28
29,2,32,33,25,31,24
17,1,27,32,25,31,22
14,2,31,36,35,27,28
19,1,28,34,28,29,18
22,1,32,34,36,28,36
29,2,31,32,33,28,40
16,1,33,35,32,30,27
26,2,34,33,30,27,32
32,2,31,31,35,28,34
30,2,32,38,35,26,33
33,2,34,24,36,36,25
18,1,30,36,33,31,21
17,2,34,38,36,31,22
15,2,38,33,38,35,36
55,2,29,36,26,27,29
28,2,31,28,28,31,34
57,2,34,36,29,29,23
28,1,35,30,35,28,32
46,2,32,38,36,30,30
25,2,27,39,38,28,34
51,1,28,31,27,29,23
19,1,28,29,26,31,24
20,2,28,36,30,31,39
18,2,33,35,34,26,41
24,1,38,36,28,31,27
47,1,30,34,27,33,28
22,2,35,27,30,28,39
27,1,32,34,38,32,31
17,2,33,31,39,31,33
23,1,30,30,27,28,27
17,1,27,31,33,29,29
23,2,33,35,27,29,19
24,2,34,31,33,35,33
21,2,32,32,33,32,29
28,1,30,37,36,27,39
22,2,27,33,35,33,30
30,2,33,35,32,30,27
24,1,27,36,32,27,27
25,2,30,31,31,31,32
30,1,32,33,32,32,24
25,2,33,36,32,29,26
46,2,29,33,30,28,25
18,2,36,33,27,33,29
26,2,33,39,34,37,32
18,1,33,28,32,28,36
16,2,35,34,36,30,23
19,2,34,34,38,30,41
30,1,32,37,34,34,35
25,1,27,37,30,27,24
28,2,31,27,31,25,39
16,2,31,36,29,32,28
29,1,31,30,30,31,27
49,2,33,33,34,31,18
25,2,33,40,31,28,27
53,1,33,36,33,34,31
29,2,34,40,38,26,38
22,1,32,39,37,31,27
20,1,31,38,38,37,34
24,1,29,34,33,32,32
21,1,27,31,30,31,19
50,2,28,28,28,24,25
18,1,32,29,30,29,32
19,2,34,37,32,30,32
19,1,34,38,37,30,41
21,2,32,37,35,29,31
15,2,26,31,32,32,33
24,1,31,36,22,31,29
36,2,34,29,32,29,30
24,1,33,27,29,32,26
18,2,32,25,32,34,29
24,1,33,31,31,27,22
25,2,30,34,32,22,20
16,2,30,37,31,23,38
22,2,30,33,34,31,30
20,2,34,31,28,33,37
24,2,30,36,27,30,43
41,2,33,35,29,32,27
62,1,37,35,33,30,32
28,2,32,35,32,25,36
21,2,34,32,27,27,43
28,2,31,36,29,30,28
45,1,36,37,30,34,18
34,1,32,37,32,34,19
34,1,36,31,30,32,37
17,1,38,33,30,31,37
23,1,29,35,33,31,36
16,2,33,32,28,26,36
31,1,27,37,26,30,28
65,2,29,37,38,27,32
37,2,34,33,34,32,38
23,1,27,36,26,26,40
22,2,36,37,33,38,38
27,2,33,27,28,27,26
35,1,30,32,29,31,39
28,2,33,38,27,26,30
30,1,32,35,36,33,17
22,2,37,28,28,32,37
29,2,33,31,31,29,22
25,2,26,30,30,38,24
14,2,34,37,32,31,29
27,1,30,33,28,28,27
54,2,27,37,29,27,28
24,2,38,29,36,23,32
1994,1,33,32,28,31,29
56,2,27,32,30,27,31
30,1,30,32,31,30,37
54,1,32,35,27,33,27
16,2,35,31,34,28,36
20,1,34,35,29,33,21
16,1,37,35,39,34,40
30,1,34,35,33,35,20
21,1,29,28,30,30,31
30,1,30,28,33,30,19
21,1,35,30,22,34,22
28,2,34,29,23,26,22
19,2,31,32,38,29,35
54,2,32,32,31,29,26
40,1,34,33,34,31,27
34,2,32,35,35,31,33
20,2,36,31,32,32,31
37,2,33,37,27,30,28
25,2,32,34,35,34,28
20,2,29,34,28,32,38
18,1,32,28,23,31,28
53,1,29,30,32,34,18
45,2,30,38,36,30,34
49,1,35,31,34,32,19
31,1,31,37,31,27,33
32,2,32,29,34,28,23
17,2,33,32,30,32,38
18,2,31,33,32,31,42
30,1,24,36,30,28,41
15,1,34,36,34,28,38
61,1,31,34,32,32,29
24,2,33,33,33,27,31
34,1,35,28,28,33,35
19,3,32,34,35,26,32
49,2,31,29,32,32,19
29,2,34,33,35,28,41
34,2,33,36,32,34,33
19,1,27,37,27,33,42
21,2,29,40,32,29,40
13,1,26,29,30,30,27
21,2,30,29,31,32,25
27,2,34,36,34,30,27
22,2,31,31,32,28,36
35,1,39,37,38,32,32
20,2,28,31,30,30,26
26,1,32,32,30,33,22
28,1,32,31,30,30,30
45,2,35,33,32,32,28
18,2,30,28,35,31,33
22,1,34,31,35,33,28
25,1,30,32,32,30,37
22,1,28,31,33,29,35
19,1,35,30,33,33,22
23,1,31,29,30,25,27
23,2,36,33,37,34,21
56,2,31,36,34,28,28
20,2,38,31,35,31,41
15,2,23,26,32,30,27
31,2,35,35,39,36,38
15,2,29,32,37,32,36
15,1,29,37,28,31,29
15,1,33,31,30,34,34
16,2,28,32,30,26,23
29,2,33,38,34,26,25
55,2,34,32,28,31,20
27,1,37,32,33,33,20
20,2,35,35,32,37,24
21,1,34,38,34,32,26
22,2,32,34,35,36,29
39,1,31,35,31,29,32
31,2,35,30,38,30,21
31,2,34,37,33,29,37
26,2,36,33,26,34,21
16,1,32,32,30,31,26
23,2,34,33,33,33,36
29,2,30,32,34,28,27
14,2,36,40,34,37,36
14,2,29,39,30,29,34
16,2,33,29,33,32,30
15,1,33,40,33,28,30
33,2,34,30,31,34,29
31,2,30,33,25,23,36
27,1,34,36,37,32,18
27,2,25,36,37,30,23
46,1,32,38,26,29,21
17,1,28,27,30,29,31
25,1,33,32,34,32,20
27,1,35,27,26,25,20
15,1,30,29,29,31,25
30,2,29,39,25,31,34
21,1,28,35,33,31,31
27,2,33,34,31,33,27
27,2,36,31,32,38,28
30,1,34,29,33,34,29
42,1,31,32,29,32,40
23,1,31,31,29,28,38
23,2,28,37,32,29,21
55,2,33,29,29,30,29
20,2,35,32,33,37,36
20,2,32,33,34,31,42
23,1,28,33,29,28,29
31,2,35,35,34,34,24
21,1,27,32,32,30,24
15,2,30,32,31,22,32
31,2,24,28,33,25,37
53,2,34,33,31,33,26
24,2,32,33,31,28,29
30,2,34,30,34,26,24
44,2,29,30,29,29,25
38,1,31,36,31,35,32
18,1,26,36,29,27,21
20,1,29,31,28,27,36
16,2,36,34,33,33,29
32,2,34,28,26,32,26
17,2,34,34,34,35,37
18,1,28,31,28,33,22
53,0,32,30,33,33,30
15,2,32,34,32,28,24
24,2,32,32,30,27,31
36,1,27,33,37,30,25
26,2,38,36,30,35,31
22,2,33,30,27,29,35
21,2,28,36,28,30,33
24,1,30,38,31,31,37
49,1,32,30,29,31,24
27,1,28,36,27,29,37
15,1,28,35,33,27,30
20,1,29,31,30,30,32
18,1,33,34,29,27,29
23,2,29,31,32,28,30
15,2,27,25,30,22,34
16,2,38,32,35,31,36
15,2,28,24,23,36,23
36,2,32,35,27,29,21
23,2,30,29,30,33,31
40,2,34,35,34,29,23
21,2,37,39,39,34,40
26,2,31,31,31,29,28
16,2,36,37,36,27,29
42,1,27,32,33,30,17
14,1,31,36,38,32,28
20,1,28,37,30,30,31
22,0,36,38,29,25,38
34,2,24,31,30,25,23
13,1,32,37,31,29,28
26,2,35,37,31,34,25
18,2,37,35,33,36,29
19,2,28,28,28,27,35
18,1,33,38,36,30,34
43,1,32,37,30,29,33
27,2,30,28,28,30,27
33,2,28,29,29,26,27
18,2,32,38,39,31,41
37,2,36,31,33,31,28
45,2,33,40,33,36,27
55,1,34,29,28,37,28
31,1,28,33,30,25,27
14,2,35,36,32,34,26
14,2,32,33,31,33,26
16,2,35,25,29,27,39
14,2,32,33,35,29,42
19,1,33,31,31,34,28
59,2,33,38,37,30,34
24,1,33,36,30,27,35
28,2,29,34,30,32,32
22,1,29,39,31,26,18
32,1,30,37,38,27,34
35,2,31,39,30,31,28
38,1,32,33,31,33,25
43,2,31,35,25,29,22
62,2,34,37,38,36,35
26,2,34,35,34,27,38
19,1,35,32,28,30,27
26,2,34,36,36,33,37
49,2,31,24,28,30,21
23,1,38,33,32,37,31
21,2,33,37,34,34,40
22,2,33,30,36,27,34
23,2,30,31,31,32,39
41,2,34,40,30,34,32
51,2,32,37,33,29,28
35,2,29,36,26,31,27
15,2,31,32,28,29,34
28,1,32,36,30,31,29
25,2,33,26,30,27,40
13,2,29,34,34,27,39
17,2,36,35,39,31,41
34,2,35,36,38,36,32
35,1,30,24,30,30,34
65,1,31,38,29,29,30
41,2,34,32,35,28,38
60,1,28,29,36,26,38
25,2,37,26,29,31,43
21,2,32,35,35,31,32
15,2,29,33,22,27,40
23,1,38,29,26,34,41
35,1,30,37,33,27,38
24,1,31,37,31,34,35
25,1,35,31,33,31,37
22,1,38,34,34,33,20
33,2,31,33,33,31,18
41,1,29,40,31,28,42
13,2,35,26,34,29,40
15,1,34,38,27,32,35
42,1,32,37,33,34,33
42,2,34,34,28,29,27
44,2,36,31,35,30,37
21,1,34,27,36,27,36
31,2,30,36,30,25,26
31,1,31,39,32,31,24
25,1,36,30,35,27,37
20,2,33,32,30,32,28
24,2,34,29,31,33,36
14,1,30,30,30,30,30
17,1,30,34,32,30,25
16,1,25,34,28,27,28
13,2,30,27,27,29,37
31,2,37,37,32,32,42
25,1,31,31,24,32,31
208,2,38,30,33,35,30
19,1,32,31,28,31,30
35,1,33,38,34,31,24
24,1,37,26,27,31,20
25,2,31,35,36,28,38
35,2,30,30,28,31,17
26,2,36,37,34,30,39
58,2,35,39,33,28,23
15,2,31,25,26,27,37
17,2,33,36,32,29,40
21,2,25,26,33,24,35
15,1,33,38,32,32,38
40,2,32,36,30,32,31
27,2,37,39,33,26,26
16,1,31,34,34,32,20
18,1,29,33,35,36,26
16,1,32,29,35,31,22
22,2,32,29,32,34,21
35,1,30,35,31,29,22
22,1,31,27,29,30,26
17,1,33,30,36,32,36
20,2,33,34,31,36,17
17,2,37,35,31,34,43
17,1,35,28,32,36,23
17,2,32,33,39,34,40
18,1,29,33,31,32,32
17,1,32,40,32,30,27
17,2,34,36,28,33,24
20,1,34,30,32,31,24
46,1,32,33,30,29,35
40,2,28,33,24,26,28
15,2,27,37,31,30,36
37,1,28,37,33,35,24
1996,1,31,25,35,31,26
17,2,32,33,34,30,34
17,1,29,28,37,34,17
18,1,36,30,36,37,32
21,2,37,25,27,33,36
17,2,30,29,37,32,39
16,2,31,35,35,29,22
18,2,31,30,30,26,35
15,2,36,35,29,32,36
16,2,30,29,29,30,32
17,1,38,35,34,32,41
17,2,33,32,37,28,40
16,2,37,34,37,36,30
16,2,37,32,33,31,27
16,2,34,28,34,33,31
19,2,33,28,36,32,36
16,2,33,32,31,31,33
18,1,28,29,30,28,27
16,1,38,36,32,36,39
18,2,28,35,31,30,22
36,2,27,30,30,26,32
46,2,31,33,28,31,29
22,2,30,26,29,30,34
41,2,31,39,31,27,32
18,2,30,31,31,33,40
20,2,36,31,32,35,33
19,1,39,36,38,26,36
21,2,34,32,30,33,19
25,2,31,31,32,31,29
15,2,29,30,27,31,31
28,2,30,36,30,33,24
17,2,35,36,34,26,32
19,2,31,33,32,35,32
20,1,33,38,35,28,31
28,1,33,32,33,34,30
31,2,31,28,32,33,27
56,2,28,39,32,31,27
20,2,31,31,34,30,28
16,2,30,34,30,24,36
24,1,26,35,32,30,34
14,2,30,38,31,23,22
27,1,30,33,32,35,27
20,2,33,33,35,34,36
17,1,35,36,26,33,20
25,1,30,30,35,27,27
35,2,35,38,36,27,37
17,2,30,39,31,26,30
31,1,33,30,32,32,31
15,2,32,37,32,33,24
48,2,29,40,32,28,37
15,2,26,28,26,32,32
17,2,35,30,30,33,37
16,2,30,34,31,28,29
16,2,34,26,30,33,22
28,2,25,28,27,30,29
17,1,30,32,30,30,40
17,1,34,28,27,31,26
25,1,34,28,30,32,32
19,2,34,36,36,33,24
42,1,28,32,31,27,22
24,2,34,34,32,25,34
24,2,35,29,31,32,21
13,1,29,30,27,33,22
21,2,36,35,29,34,34
16,2,26,35,36,25,34
17,1,30,34,30,28,32
17,2,31,29,29,28,36
19,2,36,38,31,29,34
19,1,31,31,28,32,29
20,2,32,35,34,28,27
15,2,32,30,28,31,31
24,2,35,31,33,35,32
36,2,28,35,32,35,30
30,1,32,33,32,30,24
26,2,36,33,29,33,35
18,2,32,27,27,32,30
16,2,34,36,36,33,37
43,2,32,31,30,35,29
19,1,29,32,31,32,25
16,2,30,30,32,30,37
19,2,35,30,29,31,29
17,2,27,27,24,28,33
27,1,30,34,38,31,33
43,2,31,33,31,28,31
22,2,33,30,33,32,34
17,2,29,35,33,34,31
17,2,34,34,32,36,42
39,2,29,35,34,31,26
20,2,32,34,36,30,29
52,1,28,35,24,31,24
33,1,28,33,26,29,28
26,1,33,33,30,29,37
17,1,30,30,27,28,36
35,2,34,34,26,29,31
41,2,30,29,27,29,21
17,1,30,39,29,28,34
24,2,32,38,34,29,34
52,2,30,26,27,29,30
22,2,33,32,33,27,26
20,1,37,35,31,35,18
32,1,34,34,39,31,28
32,2,29,30,32,32,19
34,1,33,34,35,36,27
29,2,31,36,27,28,30
48,2,35,36,37,29,40
34,2,30,27,30,28,36
44,1,30,38,33,33,25
21,2,31,33,32,31,24
18,1,33,26,37,37,25
15,2,34,33,32,32,35
19,2,28,31,32,35,28
21,1,38,35,31,35,17
34,1,28,35,34,32,22
14,2,36,28,27,31,37
26,2,30,40,33,25,24
27,1,35,38,31,36,28
16,2,34,34,33,31,28
16,2,38,32,31,30,40
24,2,27,27,29,27,26
17,1,27,35,31,34,38
22,1,32,33,28,34,29
15,2,32,32,31,23,38
19,1,37,35,32,30,34
15,2,32,36,32,31,36
15,2,30,34,33,31,35
37,1,37,35,35,33,35
34,1,33,34,28,33,27
25,2,36,40,34,31,31
22,2,32,34,32,32,31
35,2,36,29,29,30,22
48,2,26,37,36,25,38
18,1,30,34,34,37,23
17,2,33,31,33,35,25
28,2,32,30,29,27,36
21,1,37,35,32,29,24
18,2,35,32,36,32,28
49,2,35,28,28,35,38
18,2,34,33,32,30,25
45,1,25,34,26,33,30
19,2,34,33,33,26,17
57,2,31,34,29,29,23
26,2,34,34,39,28,37
20,1,33,31,27,30,20
23,1,30,32,32,32,24
37,2,25,38,30,30,20
31,1,30,34,24,30,34
16,2,28,35,37,30,34
15,2,34,35,31,28,36
19,2,30,30,32,38,36
20,1,31,32,37,36,38
54,1,38,39,35,30,28
18,2,30,37,32,28,20
20,1,32,38,35,28,20
25,2,32,34,33,32,39
57,2,33,39,29,31,20
19,2,32,28,33,36,34
17,2,30,36,36,30,24
51,1,32,36,34,35,32
23,2,39,26,33,29,33
23,1,33,34,36,31,37
22,2,36,27,34,34,34
18,2,35,30,32,29,38
22,2,32,32,31,30,28
32,2,39,37,37,32,38
20,2,32,28,28,31,41
15,2,35,29,25,33,40
16,2,36,37,35,32,42
26,2,35,30,31,28,33
47,2,37,35,36,35,30
22,2,35,27,37,32,31
16,3,31,30,30,30,38
15,1,28,39,34,30,33
32,2,27,33,36,30,30
16,2,32,32,33,31,27
26,2,31,38,32,27,28
28,1,31,33,33,28,32
24,1,34,33,36,30,31
18,1,37,32,36,27,25
23,1,35,27,24,30,31
23,1,31,27,30,30,30
24,1,38,33,35,38,28
50,2,32,32,32,32,31
18,1,34,34,35,34,30
33,2,33,34,36,30,23
34,1,34,27,33,29,29
42,2,29,31,34,30,38
24,1,34,32,36,34,28
21,2,30,27,23,26,37
21,1,35,29,35,26,36
27,2,27,27,27,28,20
17,2,31,33,31,29,39
19,1,32,31,27,29,25
17,1,28,34,30,29,32
23,2,35,28,32,35,37
21,2,30,26,28,25,34
17,1,30,31,27,32,28
41,1,32,33,27,30,29
21,2,33,33,32,32,21
16,2,37,26,28,30,30
40,2,33,32,34,30,27
18,2,29,31,34,30,26
24,2,34,36,38,29,27
33,1,28,34,36,34,25
22,1,31,35,34,33,29
24,1,27,34,31,28,31
55,1,34,36,30,33,21
20,2,30,27,29,29,42
43,1,35,36,32,33,20
24,2,33,36,32,26,38
29,1,29,34,34,30,19
25,2,33,32,31,36,23
21,1,28,32,27,29,39
28,1,37,37,35,31,37
23,1,31,34,37,32,30
49,1,28,29,27,31,24
17,2,33,37,34,31,26
16,2,33,28,34,29,36
39,2,35,37,36,31,21
51,2,33,39,33,34,28
28,2,32,26,28,37,30
17,2,32,33,27,27,33
35,2,31,30,30,29,38
17,1,30,31,30,31,21
30,1,38,35,31,29,37
27,2,36,31,33,32,21
21,2,31,33,28,33,27
17,2,35,33,37,29,34
17,1,31,28,26,31,21
17,1,29,28,29,33,32
48,2,32,29,30,25,24
60,2,27,33,31,31,31
18,1,26,38,29,30,18
20,1,29,35,27,32,27
26,2,33,31,33,30,38
17,2,31,32,30,35,25
21,2,34,40,38,31,28
17,2,32,37,31,37,41
17,2,27,30,25,37,32
16,1,37,36,37,35,25
19,1,37,29,33,29,26
38,2,33,34,31,28,27
21,2,33,27,27,30,27
21,2,33,28,29,34,29
28,1,28,30,27,35,35
16,2,27,29,24,31,31
23,1,32,33,28,32,28
21,1,32,30,32,29,28
19,2,30,24,29,29,32
16,2,31,29,37,24,38
20,2,28,35,30,30,34
17,2,28,31,30,31,34
17,1,33,25,28,30,33
16,2,35,30,26,31,23
44,1,35,29,30,26,31
20,1,26,39,27,25,21
22,2,35,37,33,34,34
26,2,23,29,35,27,43
21,2,35,32,33,34,24
18,1,24,30,29,30,39
20,2,32,36,32,33,22
